Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Li, Bingchuan; Cai, Shaofei; Liu, Wei; Zhang, Peng; He, Qian; Hua, Miao; Yi, Zili; ",DyStyle: Dynamic neural network for multi-attribute-conditioned style editings,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,,,189-197,2023,
"Wang, Zihao; Liu, Wei; He, Qian; Wu, Xinglong; Yi, Zili; ",Clip-gen: Language-free training of a text-to-image generator with clip,arXiv preprint arXiv:2203.00386,,,,2022,
"Liu, Wei; Liu, Fangyue; Ding, Fei; He, Qian; Yi, Zili; ",Xmp-font: Self-supervised cross-modality pre-training for few-shot font generation,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,7905-7914,2022,
"Xu, Chao; Zhang, Jiangning; Hua, Miao; He, Qian; Yi, Zili; Liu, Yong; ",Region-aware face swapping,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,7632-7641,2022,
"Hua, Miao; Liu, Lijie; Cheng, Ziyang; He, Qian; Li, Bingchuan; Yi, Zili; ",FaceEraser: Removing Facial Parts for Augmented Reality,arXiv preprint arXiv:2109.10760,,,,2021,
"Chen, Jinshu; Li, Bingchuan; Hua, Miao; Xu, Panpan; He, Qian; ",Customize Your Own Paired Data via Few-shot Way,arXiv preprint arXiv:2405.12490,,,,2024,
"Liu, Jiawei; Wang, Weining; Liu, Wei; He, Qian; Liu, Jing; ",Ed-t2v: An efficient training framework for diffusion-based text-to-video generation,2023 International Joint Conference on Neural Networks (IJCNN),,,1-8,2023,IEEE
"Li, Bingchuan; Ma, Tianxiang; Zhang, Peng; Hua, Miao; Liu, Wei; He, Qian; Yi, Zili; ",Reganie: Rectifying gan inversion errors for accurate real image editing,Proceedings of the AAAI conference on artificial intelligence,37,1,1269-1277,2023,
"Huang, Mengqi; Mao, Zhendong; Liu, Mingcong; He, Qian; Zhang, Yongdong; ",Realcustom: Narrowing real text word for real-time open-domain text-to-image customization,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,7476-7485,2024,
"Ma, Tianxiang; Li, Bingchuan; He, Qian; Dong, Jing; Tan, Tieniu; ",GaFET: learning geometry-aware facial expression translation from in-the-wild images,arXiv preprint arXiv:2308.03413,,,,2023,
"Ma, Tianxiang; Li, Bingchuan; He, Qian; Dong, Jing; Tan, Tieniu; ",Semantic 3d-aware portrait synthesis and manipulation based on compositional neural radiance field,Proceedings of the AAAI Conference on Artificial Intelligence,37,2,1878-1886,2023,
"Hua, Miao; Liu, Jiawei; Ding, Fei; Liu, Wei; Wu, Jie; He, Qian; ",Dreamtuner: Single image is enough for subject-driven generation,arXiv preprint arXiv:2312.13691,,,,2023,
"Sun, Shiqi; Fang, Shancheng; He, Qian; Liu, Wei; ",Design booster: A text-guided diffusion model for image translation with spatial layout preservation,arXiv preprint arXiv:2302.02284,,,,2023,
"Qi, Tianhao; Fang, Shancheng; Wu, Yanze; Xie, Hongtao; Liu, Jiawei; Chen, Lang; He, Qian; Zhang, Yongdong; ",Deadiff: An efficient stylization diffusion model with disentangled representations,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,8693-8702,2024,
"Chen, Zhuowei; Fang, Shancheng; Liu, Wei; He, Qian; Huang, Mengqi; Mao, Zhendong; ",Dreamidentity: enhanced editability for efficient face-identity preserved image generation,Proceedings of the AAAI Conference on Artificial Intelligence,38,2,1281-1289,2024,
"Guo, Zinan; Wu, Yanze; Zhuowei, Chen; Zhang, Peng; He, Qian; ",Pulid: Pure and lightning id customization via contrastive alignment,Advances in neural information processing systems,37,,36777-36804,2024,
"Chen, Zhuowei; Fang, Shancheng; Liu, Wei; He, Qian; Huang, Mengqi; Zhang, Yongdong; Mao, Zhendong; ",Dreamidentity: Improved editability for efficient face-identity preserved image generation,arXiv preprint arXiv:2307.00300,,,,2023,
"Mao, Zhendong; Huang, Mengqi; Ding, Fei; Liu, Mingcong; He, Qian; Zhang, Yongdong; ",Realcustom++: Representing images as real-word for real-time customization,arXiv e-prints,,,arXiv: 2408.09744,2024,
"He, Qian; ","Method for generating face shape adjustment image, model training method, apparatus and device",,,,,2024,"US Patent App. 18/264,565"
"He, Qian; ","Animal face style image generation method and apparatus, model training method and apparatus, and device",,,,,2025,"US Patent 12,499,514"
"Zhou, Siyu; He, Qian; ","Image processing method, training method for an image processing model, electronic device, and medium",,,,,2024,"US Patent App. 18/569,917"
"Zhang, Peng; He, Qian; ","Method, apparatus, device and storage medium for generating animal figures",,,,,2024,"US Patent App. 18/569,575"
"Siyou, ZHOU; He, Qian; ","A method, apparatus, device, and medium for image processing",,,,,2024,"US Patent App. 18/289,855"
"Yi, Zili; He, Qian; ","Method, apparatus, device and storage medium for image generation",,,,,2024,"US Patent App. 18/572,340"
"He, Qian; ","Image splicing method and apparatus, and device and medium",,,,,2024,"US Patent App. 18/558,048"
"He, Qian; Liu, Lijie; ","Generating image method and apparatus, device, and medium",,,,,2024,"US Patent App. 18/566,523"
"Feng, Wanquan; Liu, Jiawei; Tu, Pengqi; Qi, Tianhao; Sun, Mingzhen; Ma, Tianxiang; Zhao, Songtao; Zhou, Siyu; He, Qian; ",I2vcontrol-camera: Precise video camera control with adjustable motion strength,arXiv preprint arXiv:2411.06525,,,,2024,
"Feng, Wanquan; Qi, Tianhao; Liu, Jiawei; Sun, Mingzhen; Tu, Pengqi; Ma, Tianxiang; Dai, Fei; Zhao, Songtao; Zhou, Siyu; He, Qian; ",I2vcontrol: Disentangled and unified video motion synthesis control,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,14051-14060,2025,
"Li, Xinghui; Sun, Qichao; Zhang, Pengze; Ye, Fulong; Liao, Zhichao; Feng, Wanquan; Zhao, Songtao; He, Qian; ",Anydressing: Customizable multi-garment virtual dressing via latent diffusion models,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,23723-23733,2025,IEEE
"Wu, Shaojin; Ding, Fei; Huang, Mengqi; Liu, Wei; He, Qian; ",VMix: Improving Text-to-Image Diffusion Model with Cross-Attention Mixing Control,arXiv preprint arXiv:2412.20800,,,,2024,
"Wang, Qinghe; Liu, Lijie; Hua, Miao; He, Qian; Zhu, Pengfei; Cao, Bing; Hu, Qinghua; ",Hs-diffusion: Learning a semantic-guided diffusion model for head swapping,arXiv preprint arXiv:2212.06458,,,,2022,
"Liu, Lijie; Ma, Tianxiang; Li, Bingchuan; Chen, Zhuowei; Liu, Jiawei; Li, Gen; Zhou, Siyu; He, Qian; Wu, Xinglong; ",Phantom: Subject-consistent video generation via cross-modal alignment,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,14951-14961,2025,
"Sun, Mingzhen; Wang, Weining; Li, Gen; Liu, Jiawei; Sun, Jiahui; Feng, Wanquan; Lao, Shanshan; Zhou, SiYu; He, Qian; Liu, Jing; ",Ar-diffusion: Asynchronous video generation with auto-regressive diffusion,Proceedings of the Computer Vision and Pattern Recognition Conference,,,7364-7373,2025,
"Li, Mengtian; Chen, Jinshu; Feng, Wanquan; Li, Bingchuan; Dai, Fei; Zhao, Songtao; He, Qian; ",Hyperlora: Parameter-efficient adaptive generation for portrait synthesis,Proceedings of the Computer Vision and Pattern Recognition Conference,,,13114-13123,2025,
"Qi, Tianhao; Yuan, Jianlong; Feng, Wanquan; Fang, Shancheng; Liu, Jiawei; Zhou, SiYu; He, Qian; Xie, Hongtao; Zhang, Yongdong; ",Mask^ 2DiT: Dual Mask-based Diffusion Transformer for Multi-Scene Long Video Generation,Proceedings of the Computer Vision and Pattern Recognition Conference,,,18837-18846,2025,
"Wu, Shaojin; Huang, Mengqi; Wu, Wenxu; Cheng, Yufeng; Ding, Fei; He, Qian; ",Less-to-more generalization: Unlocking more controllability by in-context generation,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,18682-18692,2025,
"Ye, Fulong; Hua, Miao; Zhang, Pengze; Li, Xinghui; Sun, Qichao; Zhao, Songtao; He, Qian; Wu, Xinglong; ",Dreamid: High-fidelity and fast diffusion-based face swapping via triplet id group learning,Proceedings of the SIGGRAPH Asia 2025 Conference Papers,,,1-10,2025,
"Mou, Chong; Wu, Yanze; Wu, Wenxu; Guo, Zinan; Zhang, Pengze; Cheng, Yufeng; Luo, Yiming; Ding, Fei; Zhang, Shiwen; Li, Xinghui; ",Dreamo: A unified framework for image customization,Proceedings of the SIGGRAPH Asia 2025 Conference Papers,,,1-12,2025,
"Guo, Zinan; Zhang, Pengze; Wu, Yanze; Mou, Chong; Zhao, Songtao; He, Qian; ",Musar: Exploring multi-subject customization from single-subject dataset via attention routing,arXiv preprint arXiv:2505.02823,,,,2025,
"Chen, Zhuowei; Li, Bingchuan; Ma, Tianxiang; Liu, Lijie; Liu, Mingcong; Zhang, Yi; Li, Gen; Li, Xinghui; Zhou, Siyu; He, Qian; ",Phantom-data: Towards a general subject-consistent video generation dataset,arXiv preprint arXiv:2506.18851,,,,2025,
"Guo, Hengkai; Wang, Wenji; Guo, Guanjun; Li, Huaxia; Liu, Jiachen; He, Qian; Xiao, Xuefeng; ",An empirical study of propagation-based methods for video object segmentation,arXiv preprint arXiv:1907.12769,,,,2019,
"Ren, Yuxi; Wu, Jie; Zhang, Peng; Zhang, Manlin; Xiao, Xuefeng; He, Qian; Wang, Rui; Zheng, Min; Pan, Xin; ",Ugc: Unified gan compression for efficient image-to-image translation,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,17281-17291,2023,
"Dong, Yongsheng; Wang, Donghao; He, Qian; ","Image processing method and apparatus, electronic device, and storage medium",,,,,2025,"US Patent App. 19/017,185"
"Wu, Shaojin; Huang, Mengqi; Cheng, Yufeng; Wu, Wenxu; Tian, Jiahe; Luo, Yiming; Ding, Fei; He, Qian; ",Uso: Unified style and subject-driven generation via disentangled and reward learning,arXiv preprint arXiv:2508.18966,,,,2025,
"Cheng, Yufeng; Wu, Wenxu; Wu, Shaojin; Huang, Mengqi; Ding, Fei; He, Qian; ",UMO: Scaling Multi-Identity Consistency for Image Customization via Matching Reward,arXiv preprint arXiv:2509.06818,,,,2025,
"Chen, Liyang; Ma, Tianxiang; Liu, Jiawei; Li, Bingchuan; Chen, Zhuowei; Liu, Lijie; He, Xu; Li, Gen; He, Qian; Wu, Zhiyong; ",Humo: Human-centric video generation via collaborative multi-modal conditioning,arXiv preprint arXiv:2509.08519,,,,2025,
"Chen, Jinshu; Li, Xinghui; Bai, Xu; Ma, Tianxiang; Zhang, Pengze; Chen, Zhuowei; Li, Gen; Liu, Lijie; Zhao, Songtao; Li, Bingchuan; ",OmniInsert: Mask-Free Video Insertion of Any Reference via Diffusion Transformer Models,arXiv preprint arXiv:2509.17627,,,,2025,
"Hu, Rui; He, Qian; He, Gaofeng; Zhuang, Jiedong; Chen, Huang; Liu, Huafeng; Wang, Huamin; ",Fashionr2r: Texture-preserving rendered-to-real image translation with diffusion models,arXiv preprint arXiv:2410.14429,,,,2024,
"Mou, Chong; Sun, Qichao; Wu, Yanze; Zhang, Pengze; Li, Xinghui; Ye, Fulong; Zhao, Songtao; He, Qian; ",Instructx: Towards unified visual editing with mllm guidance,arXiv preprint arXiv:2510.08485,,,,2025,
"Mao, Zhendong; Huang, Mengqi; Ding, Fei; Liu, Mingcong; He, Qian; Zhang, Yongdong; ",RealCustom++: Representing Images as Real Textual Word for Real-Time Customization,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,2025,IEEE
"Chen, Jinshu; Li, Bingchuan; Zhang, Fan; Zhao, Songtao; He, Qian; ",OneGT: One-Shot Geometry-Texture Neural Rendering for Head Avatars,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,11294-11304,2025,
"Seedance, Team; Chen, Heyi; Chen, Siyan; Chen, Xin; Chen, Yanfei; Chen, Ying; Chen, Zhuo; Cheng, Feng; Cheng, Tianheng; Cheng, Xinqi; ",Seedance 1.5 pro: A Native Audio-Visual Joint Generation Foundation Model,arXiv preprint arXiv:2512.13507,,,,2025,
"Liu, Jiawei; Li, Junqiao; Deng, Jiangfan; Li, Gen; Zhou, Siyu; Fang, Zetao; Lao, Shanshan; Deng, Zengde; Zhu, Jianing; Ma, Tingting; ",DreaMontage: Arbitrary Frame-Guided One-Shot Video Generation,arXiv preprint arXiv:2512.21252,,,,2025,
"Guo, Xu; Ye, Fulong; Li, Xinghui; Tu, Pengqi; Zhang, Pengze; Sun, Qichao; Zhao, Songtao; Hou, Xiangwang; He, Qian; ",DreamID-V: Bridging the Image-to-Video Gap for High-Fidelity Face Swapping via Diffusion Transformer,arXiv preprint arXiv:2601.01425,,,,2026,
"Li, Mengtian; Chen, Jinshu; Zhao, Songtao; Feng, Wanquan; Tu, Pengqi; He, Qian; ",DreamStyle: A Unified Framework for Video Stylization,arXiv preprint arXiv:2601.02785,,,,2026,
"Zhang, Pengze; Wu, Yanze; Li, Mengtian; Bai, Xu; Zhao, Songtao; Ye, Fulong; Mou, Chong; Li, Xinghui; Chen, Zhuowei; He, Qian; ",OmniTransfer: All-in-one Framework for Spatio-temporal Video Transfer,arXiv preprint arXiv:2601.14250,,,,2026,
"Guo, Xu; Ye, Fulong; Sun, Qichao; Chen, Liyang; Li, Bingchuan; Zhang, Pengze; Liu, Jiawei; Zhao, Songtao; He, Qian; Hou, Xiangwang; ",DreamID-Omni: Unified Framework for Controllable Human-Centric Audio-Video Generation,arXiv preprint arXiv:2602.12160,,,,2026,
"Guo, Xu; Ye, Fulong; Li, Xinghui; Tu, Pengqi; Zhang, Pengze; Zhao, Songtao; Hou, Xiangwang; HE, Qian; ",OmniFace: Bridging the Image-to-Video Gap for High-Fidelity Face Swapping via Diffusion Transformer,,,,,,
