title,authors,venue,year,arxiv,pdf,widelyApplied
"DreamStyle: A Unified Framework for Video Stylization","He Qian et al.",CVPR,2026,https://arxiv.org/abs/2601.02785,,false
"Scaling4D: Pushing the Frontier of Video Novel View Synthesis through Large-Scale Monocular Videos","He Qian et al.",CVPR,2026,,false
"OmniTransfer: All-in-one Framework for Spatio-temporal Video Transfer","He Qian et al.",CVPR,2026,https://arxiv.org/abs/2601.14250,,true
"USO: Unified Style and Subject-Driven Generation via Disentangled and Reward Learning","He Qian et al.",CVPR,2026,https://arxiv.org/abs/2508.18966,,false
"UMO: Scaling Multi-Identity Consistency for Image Customization via Matching Reward","Cheng Yufeng Wu Wenxu Wu Shaojin Huang Mengqi Ding Fei He Qian",CVPR,2026,https://arxiv.org/abs/2509.06818,,false
"Phantom-Data: Towards a General Subject-Consistent Video Generation Dataset","Chen Zhuowei Li Bingchuan Ma Tianxiang Liu Lijie Liu Mingcong Zhang Yi Li Gen Li Xinghui Zhou Siyu He Qian",ICLR,2026,https://arxiv.org/abs/2506.18851,,true
"HuMo: Human-Centric Video Generation via Collaborative Multi-Modal Conditioning","Chen Liyang Ma Tianxiang Liu Jiawei Li Bingchuan Chen Zhuowei Liu Lijie He Xu Li Gen He Qian Wu Zhiyong",AAAI,2026,https://arxiv.org/abs/2509.08519,,true
"I2VControl-Camera: Precise Video Camera Control with Adjustable Motion Strength","Feng Wanquan Liu Jiawei Tu Pengqi Qi Tianhao Sun Mingzhen Ma Tianxiang Zhao Songtao Zhou Siyu He Qian",ICLR,2025,https://arxiv.org/abs/2411.06525,,false
"HyperLora: Parameter-Efficient Adaptive Generation for Portrait Synthesis","He Qian et al.",CVPR,2025,https://arxiv.org/abs/2503.16944,,false
"AnyDressing: Customizable Multi-Garment Virtual Dressing via Latent Diffusion Models","Li Xinghui Sun Qichao Zhang Pengze Ye Fulong Liao Zhichao Feng Wanquan Zhao Songtao He Qian",CVPR,2025,https://arxiv.org/abs/2412.04146,,false
"AR-Diffusion: Asynchronous Video Generation with Auto-Regressive Diffusion","Sun Mingzhen Wang Weining Li Gen Liu Jiawei Sun Jiahui Feng Wanquan Lao Shanshan Zhou SiYu He Qian Liu Jing",CVPR,2025,https://arxiv.org/abs/2503.07418,,false
"Mask^2DiT: Dual Mask-based Diffusion Transformer for Multi-Scene Long Video Generation","He Qian et al.",CVPR,2025,https://arxiv.org/abs/2503.19881,,false
"I2VControl: Disentangled and Unified Video Motion Synthesis Control","Feng Wanquan Qi Tianhao Liu Jiawei Sun Mingzhen Tu Pengqi Ma Tianxiang Dai Fei Zhao Songtao Zhou Siyu He Qian",ICCV,2025,https://arxiv.org/abs/2411.17765,,true
"Less-to-More Generalization: Unlocking More Controllability by In-Context Generation","He Qian et al.",ICCV,2025,https://arxiv.org/abs/2504.02160,,false
"OneGT: One-Shot Geometry-Texture Neural Rendering for Head Avatars","He Qian et al.",ICCV,2025,,https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_OneGT_One-Shot_Geometry-Texture_Neural_Rendering_for_Head_Avatars_ICCV_2025_paper.pdf,false
"Phantom: Subject-Consistent Video Generation via Cross-Modal Alignment","Liu Lijie Ma Tianxiang Li Bingchuan Chen Zhuowei Liu Jiawei Li Gen Zhou Siyu He Qian Wu Xinglong",ICCV,2025,https://arxiv.org/abs/2502.11079,,true
"DreamO: A Unified Framework for Image Customization","Mou Chong Wu Yanze Wu Wenxu Guo Zinan Zhang Pengze Cheng Yufeng Luo Yiming Ding Fei Zhang Shiwen Li Xinghui",SIGGRAPH Asia,2025,https://arxiv.org/abs/2504.16915,,true
"DreamID: A Fast and High-Fidelity diffusion-based Face Swapping via Triplet ID Group Learning","Li Xinghui Sun Qichao Zhang Pengze Ye Fulong Liao Zhichao Feng Wanquan Zhao Songtao Sun Mingzhen Hua Miao Zhang Pengze Li Xinghui He Qian Wu Xinglong",SIGGRAPH Asia,2025,https://arxiv.org/abs/2504.14509,,true
"PuLID: Pure and Lightning ID Customization via Contrastive Alignment","Guo Zinan Wu Yanze Zhuowei Chen Zhang Peng He Qian",NeurIPS,2024,https://arxiv.org/abs/2404.16022,,true
"RealCustom: Narrowing Real Text Word for Real-Time Open-Domain Text-to-Image Customization","Huang Mengqi Mao Zhendong Liu Mingcong He Qian Zhang Yongdong",CVPR,2024,https://arxiv.org/abs/2403.00483,,false
"Deadiff: An Efficient Stylization Diffusion Model with Disentangled Representations","Qi Tianhao Fang Shancheng Wu Yanze Xie Hongtao Liu Jiawei Chen Lang He Qian Zhang Yongdong",CVPR,2024,https://arxiv.org/abs/2403.06951,,false
"DreamIdentity: Enhanced Editability for Efficient Face-identity Preserved Image Generation","Chen Zhuowei Fang Shancheng Liu Wei He Qian Huang Mengqi Mao Zhendong Zhang Yongdong",AAAI,2024,https://arxiv.org/abs/2307.00300,,false
"Customize Your Own Paired Data via Few-shot Way","Chen Jinshu Li Bingchuan Hua Miao Xu Panpan He Qian","CVPR Workshop",2024,https://arxiv.org/abs/2405.12490,,false
"RealCustom++: Representing Images as Real Text Word for Real-Time Customization","Mao Zhendong Huang Mengqi Ding Fei Liu Mingcong He Qian Zhang Yongdong",arXiv,2024,https://arxiv.org/abs/2408.09744,,false
"VMix: Improving Text-to-Image Diffusion Model with Cross-Attention Mixing Control","Wu Shaojin Ding Fei Huang Mengqi Liu Wei He Qian",arXiv,2024,https://arxiv.org/abs/2412.20800,,true
"UGC: Unified GAN Compression for Efficient Image-to-Image Translation","Ren Yuxi Wu Jie Zhang Peng Zhang Manlin Xiao Xuefeng He Qian Wang Rui Zheng Min Pan Xin",ICCV,2023,https://arxiv.org/abs/2309.09310,,false
"GaFET: Learning Geometry-aware Facial Expression Translation from In-The-Wild Images","Ma Tianxiang Li Bingchuan He Qian Dong Jing Tan Tieniu",ICCV,2023,https://arxiv.org/abs/2308.03413,,false
"ED-T2V: An Efficient Training Framework for Diffusion-based Text-to-Video Generation","Liu Jiawei Wang Weining Liu Wei He Qian Liu Jing",IJCNN,2023,https://arxiv.org/abs/2309.06818,,false
"Semantic3D: Semantic 3D-aware Image Synthesis and Manipulation Based on Compositional Neural Radiance Field","Ma Tianxiang Li Bingchuan He Qian Dong Jing Tan Tieniu",AAAI,2023,https://arxiv.org/abs/2302.14163,,false
"ReGANIE: Rectifying GAN Inversion Errors for Accurate Real Image Editing","Li Bingchuan Ma Tianxiang Zhang Peng Hua Miao Liu Wei He Qian Yi Zili",AAAI,2023,https://arxiv.org/abs/2303.02994,,false
"CFFT-GAN: Cross-domain Feature Fusion Transformer for Exemplar-based Image Translation","He Qian et al.",AAAI,2023,https://arxiv.org/abs/2309.06818,,false
"DyStyle: Dynamic Neural Network for Multi-Attribute-Conditioned Style Editings","Li Bingchuan Cai Shaofei Liu Wei Zhang Peng He Qian Hua Miao Liu Wei Yi Zili",WACV,2023,https://arxiv.org/abs/2210.07476,,false
"Hierarchical Region-Aware High-Fidelity Face Swapping","Xu Chao Hua Miao He Qian et al.",CVPR,2022,https://arxiv.org/abs/2203.13218,,false
"Self-Supervised Cross-Modal Meta-training for Few-Shot Font Generation","Wei Liu FangYue Liu et al.",CVPR,2022,https://arxiv.org/abs/2203.08012,,false
"FaceEraser: Removing Facial Parts for Augmented Reality","Hua Miao Liu Lijie Cheng Ziyang He Qian Li Bingchuan Yi Zili",ICCV Workshop,2021,https://arxiv.org/abs/2109.10760,,false
